Category: Sports

Month,Lionel Messi: (Worldwide),Guillermo Ochoa: (Worldwide),Cristiano Ronaldo: (Worldwide),Conor McGregor: (Worldwide),LeBron James: (Worldwide)
2010-09,6,<1,8,<1,2
2010-10,5,<1,9,<1,3
2010-11,7,<1,11,<1,3
2010-12,6,<1,10,<1,4
2011-01,7,<1,9,<1,2
2011-02,6,<1,12,<1,3
2011-03,7,<1,9,<1,2
2011-04,12,<1,12,<1,3
2011-05,12,<1,12,<1,4
2011-06,8,<1,10,<1,9
2011-07,8,<1,8,<1,1
2011-08,9,<1,9,<1,1
2011-09,8,<1,9,<1,1
2011-10,7,<1,8,<1,2
2011-11,8,<1,10,<1,1
2011-12,9,<1,10,<1,2
2012-01,10,<1,10,<1,3
2012-02,8,<1,10,<1,3
2012-03,13,<1,10,<1,3
2012-04,14,<1,15,<1,3
2012-05,11,<1,11,<1,4
2012-06,12,<1,19,<1,11
2012-07,8,<1,10,<1,3
2012-08,8,<1,10,<1,3
2012-09,8,<1,14,<1,2
2012-10,10,<1,11,<1,2
2012-11,11,<1,11,<1,3
2012-12,15,<1,12,<1,3
2013-01,13,<1,12,<1,3
2013-02,10,<1,13,<1,5
2013-03,11,<1,13,<1,5
2013-04,13,<1,13,<1,4
2013-05,10,<1,12,<1,5
2013-06,10,<1,13,<1,10
2013-07,10,<1,11,<1,4
2013-08,9,<1,12,<1,3
2013-09,9,<1,12,<1,3
2013-10,8,<1,12,<1,3
2013-11,9,<1,16,<1,3
2013-12,9,<1,13,<1,4
2014-01,11,<1,18,<1,4
2014-02,8,<1,13,<1,5
2014-03,10,<1,13,<1,5
2014-04,10,<1,17,<1,4
2014-05,10,<1,20,<1,5
2014-06,24,4,31,<1,11
2014-07,31,2,19,<1,17
2014-08,10,<1,15,<1,4
2014-09,9,<1,14,<1,3
2014-10,11,<1,15,<1,4
2014-11,12,<1,16,<1,3
2014-12,11,<1,16,<1,4
2015-01,14,<1,21,1,3
2015-02,11,<1,15,<1,3
2015-03,13,<1,14,<1,3
2015-04,12,<1,15,<1,4
2015-05,21,<1,18,<1,6
2015-06,19,<1,15,<1,16
2015-07,13,<1,14,2,4
2015-08,12,<1,14,<1,2
2015-09,13,<1,13,<1,2
2015-10,11,<1,13,<1,2
2015-11,12,<1,14,1,3
2015-12,12,<1,14,5,5
2016-01,15,<1,13,1,3
2016-02,14,<1,13,2,3
2016-03,11,<1,12,7,3
2016-04,12,<1,17,2,4
2016-05,10,<1,15,2,5
2016-06,26,<1,22,1,17
2016-07,19,<1,30,1,5
2016-08,11,<1,12,6,3
2016-09,10,<1,11,1,2
2016-10,10,<1,10,1,3
2016-11,11,<1,13,5,3
2016-12,12,<1,15,1,4
2017-01,9,<1,11,1,4
2017-02,9,<1,9,1,4
2017-03,10,<1,10,2,3
2017-04,14,<1,15,1,4
2017-05,12,<1,15,2,7
2017-06,11,<1,23,6,11
2017-07,10,<1,12,17,4
2017-08,11,<1,14,100,3
2017-09,10,<1,11,3,3
2017-10,12,<1,11,1,3
2017-11,8,<1,10,1,4
2017-12,10,<1,12,1,5
2018-01,9,<1,11,1,5
2018-02,9,<1,11,1,6
2018-03,12,<1,12,1,5
2018-04,11,<1,19,2,6
2018-05,10,<1,15,1,11
2018-06,30,1,35,1,18
2018-07,14,1,49,1,15
2018-08,7,<1,14,1,5
2018-09,7,<1,16,2,3
2018-10,9,<1,16,14,5
2018-11,7,<1,11,1,5
2018-12,8,<1,11,1,6
2019-01,7,<1,10,1,5
2019-02,8,<1,11,1,5
2019-03,10,<1,14,1,5
2019-04,10,<1,11,1,3
2019-05,12,<1,9,<1,3
2019-06,10,<1,10,1,4
2019-07,10,<1,8,1,3
2019-08,8,<1,8,1,2
2019-09,8,<1,9,1,2
2019-10,8,<1,8,1,4
2019-11,7,<1,8,1,4
2019-12,10,<1,11,1,4
2020-01,6,<1,9,10,9
2020-02,8,<1,10,1,6
2020-03,6,<1,9,1,4
2020-04,5,<1,7,1,3
2020-05,5,<1,6,1,4
2020-06,7,<1,7,1,3
2020-07,7,<1,9,1,3
2020-08,26,<1,11,<1,4
2020-09,13,<1,7,1,6
2020-10,6,<1,10,1,7
2020-11,7,<1,8,1,2
2020-12,9,<1,10,1,3
2021-01,8,<1,8,6,4
2021-02,8,<1,9,<1,4
2021-03,7,<1,9,<1,4
2021-04,7,<1,7,1,5
2021-05,8,<1,10,1,5
2021-06,11,<1,20,1,4
2021-07,19,<1,13,5,6
2021-08,53,<1,32,<1,4
2021-09,13,<1,20,<1,2
2021-10,10,<1,12,<1,3
2021-11,12,<1,11,<1,6
2021-12,9,<1,11,<1,5
2022-01,7,<1,11,<1,4
2022-02,8,<1,14,<1,5
2022-03,9,<1,11,<1,5
2022-04,8,<1,20,<1,4
2022-05,8,<1,11,<1,3
2022-06,10,<1,11,<1,4
