full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ángel Manuel Robles Guerrero,20,1006041600,2001/11/18,Liga MX,2021/2022,Forward,Puebla,226,80,146,Mexico,7,2,5,0,0,0,0,0,0,0,0,1,0,1,4,1,3,1,0,0,0,0,0,0,0,1.59,57,32,226,0,0.4,-1,-1,-1,24
Ángel Rodrigo Romero Villamayor,29,710208000,1992/07/04,Liga MX,2021/2022,Forward,Cruz Azul,848,414,434,Paraguay,15,9,6,1,0,1,1,1,0,0,0,4,1,3,9,7,2,3,0,0.21,0.11,0.11,0,0.21,848,0.96,94,57,283,848,0.32,144,107,-1,14
Ángel Zaldívar Caviedes,28,760665600,1994/02/08,Liga MX,2021/2022,Forward,Guadalajara,1716,940,776,Mexico,29,15,14,7,5,2,2,1,1,5,0,10,3,7,20,15,5,6,0,0.47,0.1,0.37,0.48,0.23,245,1.05,86,59,286,858,0.31,33,123,-1,1
Angelo Araos Llanos,25,852508800,1997/01/06,Liga MX,2021/2022,Midfielder,Necaxa,473,255,218,Chile,13,7,6,1,0,1,1,0,1,0,0,3,2,1,8,4,4,1,0,0.38,0.19,0.19,0,0.41,473,1.52,59,36,473,473,0.19,94,42,-1,11
Aníbal Hernán Chalá Ayoví,25,831600000,1996/05/09,Liga MX,2021/2022,Defender,Atlas,795,483,312,Ecuador,23,13,10,1,1,0,2,2,0,0,0,6,4,2,9,0,9,3,0,0.34,0.23,0.11,0.19,0,795,1.02,88,35,265,398,0.34,150,27,70,11
Antonio Briseño Vázquez,28,760406400,1994/02/05,Liga MX,2021/2022,Defender,Guadalajara,1561,755,806,Mexico,22,11,11,0,0,0,0,0,0,0,0,10,5,5,16,10,6,8,0,0,0,0,0,0,0,0.92,98,71,195,0,0.46,355,315,43,21
Antonio De Jesús López Amenábar,24,875923200,1997/10/04,Liga MX,2021/2022,Midfielder,Necaxa,315,162,153,Mexico,14,7,7,0,0,0,0,0,0,0,0,5,3,2,3,1,2,2,0,0,0,0,0,0,0,0.86,105,23,158,0,0.57,386,354,-1,21
Antonio Ríos Martínez,33,593654400,1988/10/24,Liga MX,2021/2022,Midfielder,Toluca,60,6,54,Mexico,5,1,4,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,3,30,12,60,0,1.5,-1,-1,-1,26
Antony Domingo Silva Cano,38,446688000,1984/02/27,Liga MX,2021/2022,Goalkeeper,Puebla,3240,1620,1620,Paraguay,36,18,18,0,0,0,0,0,0,0,0,8,3,5,39,19,20,9,0,0,0,0,0,0,0,1.08,83,90,360,0,0.25,419,407,79,21
Areli Betsiel Hernández Huerta,27,788054400,1994/12/22,Liga MX,2021/2022,Defender,Querétaro,832,438,394,Mexico,19,10,9,0,0,0,1,0,1,0,0,6,3,3,9,5,4,2,1,0.11,0.11,0,0,0,0,0.97,92,44,277,832,0.32,326,114,55,38
Ariel Gerardo Nahuelpán Osten,34,561254400,1987/10/15,Liga MX,2021/2022,Forward,Querétaro,145,89,56,Argentina,7,4,3,2,1,1,1,0,1,1,0,1,1,0,2,2,0,0,0,1.86,0.62,1.24,1.01,1.61,73,1.24,73,21,0,145,0,-1,-1,-1,5
Ariel Matías García,30,688089600,1991/10/22,Liga MX,2021/2022,Midfielder,Juárez,2371,1121,1250,Argentina,28,13,15,0,0,0,2,2,0,0,1,5,2,3,34,17,17,8,0,0.08,0.08,0,0,0,0,1.29,70,85,296,1186,0.3,308,150,-1,28
Aristeo García Moreno,23,919382400,1999/02/19,Liga MX,2021/2022,Defender,Querétaro,0,0,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Armando León Reséndez,22,948153600,2000/01/18,Liga MX,2021/2022,Forward,León,46,0,46,Mexico,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,12
Arturo Alfonso González González,27,778723200,1994/09/05,Liga MX,2021/2022,Midfielder,Monterrey,2352,1137,1215,Mexico,38,19,19,5,1,4,7,3,4,0,0,13,10,3,23,7,16,1,0,0.46,0.27,0.19,0.08,0.3,470,0.88,102,62,2352,336,0.04,91,19,-1,3
Arturo Delgado Covarrubias,20,1013990400,2002/02/18,Liga MX,2021/2022,Goalkeeper,Tigres UANL,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arturo Ortíz Martínez,29,714700800,1992/08/25,Liga MX,2021/2022,Defender,Pumas UNAM,3159,1424,1735,Mexico,36,16,20,4,3,1,1,0,1,0,0,12,8,4,42,14,28,8,0,0.14,0.03,0.11,0.19,0.05,790,1.2,75,88,395,3159,0.23,138,213,99,5
Arturo Palma,20,1011139200,2002/01/16,Liga MX,2021/2022,Midfielder,Necaxa,108,44,64,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1.67,54,27,0,0,0,-1,-1,-1,16
Avilés Hurtado Herrera,35,545875200,1987/04/20,Liga MX,2021/2022,Midfielder,Pachuca,2471,1215,1256,Colombia,37,18,19,4,2,2,6,3,3,0,0,12,8,4,27,8,19,11,0,0.36,0.22,0.15,0.15,0.14,618,0.98,92,67,225,412,0.4,116,30,-1,5
Axel Cruz García Barrera,22,951177600,2000/02/22,Liga MX,2021/2022,Midfielder,Necaxa,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Axel Said Grijalva Soto,21,964569600,2000/07/26,Liga MX,2021/2022,Defender,Monterrey,74,0,74,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.22,74,74,0,0,0,-1,-1,-1,22
Benny Díaz Jáuregui,23,913680000,1998/12/15,Liga MX,2021/2022,Goalkeeper,Tijuana,180,90,90,Mexico,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,23
Bernardo Aguilar Manzo,21,982540800,2001/02/19,Liga MX,2021/2022,Goalkeeper,León,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Blas Esteban Armoa Núñez,22,949536000,2000/02/03,Liga MX,2021/2022,Forward,Juárez,137,66,71,Paraguay,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,2.63,34,34,137,0,0.66,-1,-1,-1,38
Braian José Samudio Segovia,26,819676800,1995/12/23,Liga MX,2021/2022,Midfielder,Toluca,939,451,488,Paraguay,27,13,14,2,2,0,0,0,0,0,0,4,0,4,15,9,6,2,0,0.19,0,0.19,0.4,0,470,1.44,63,35,470,0,0.19,97,219,-1,9
Brandon Guadalupe Sartiaguin Godoy,22,951091200,2000/02/21,Liga MX,2021/2022,Defender,Toluca,280,30,250,Mexico,5,2,3,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,0,0,0,0,0,0,0,2.25,40,56,140,0,0.64,293,299,154,21
Brayan Alexis Angulo León,32,625968000,1989/11/02,Liga MX,2021/2022,Defender,Tijuana,2730,1350,1380,Colombia,31,15,16,2,2,0,1,1,0,0,0,6,4,2,40,17,23,6,0,0.1,0.03,0.07,0.13,0,1365,1.32,68,88,455,2730,0.2,192,212,113,5
Brayan Dennis Angulo Tenorio,26,817689600,1995/11/30,Liga MX,2021/2022,Midfielder,Cruz Azul,1331,579,752,Ecuador,27,14,13,5,3,2,1,1,0,1,0,8,4,4,13,5,8,2,0,0.41,0.07,0.34,0.47,0.24,266,0.88,102,49,666,1331,0.14,42,159,-1,4
Brayton Josué Vázquez Vélez,24,889056000,1998/03/05,Liga MX,2021/2022,Defender,Atlas,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Brian Alberto García Carpizo,24,878256000,1997/10/31,Liga MX,2021/2022,Midfielder,Necaxa,2528,1157,1371,Mexico,32,15,17,0,0,0,1,1,0,0,0,10,5,5,27,13,14,4,0,0.04,0.04,0,0,0,0,0.96,94,79,632,2528,0.14,343,198,-1,25
Brian Alejandro Rubio Rodríguez,25,847497600,1996/11/09,Liga MX,2021/2022,Forward,Mazatlán,1434,596,838,Mexico,30,15,15,4,0,4,4,2,2,0,0,7,4,3,19,5,14,7,0,0.5,0.25,0.25,0,0.43,359,1.19,75,48,205,359,0.44,69,23,-1,1
Brian Avelino Lozano Aparicio,28,761961600,1994/02/23,Liga MX,2021/2022,Midfielder,Santos Laguna,1667,853,814,Uruguay,29,15,14,5,4,1,3,2,1,3,0,8,5,3,26,12,14,4,0,0.43,0.16,0.27,0.42,0.11,333,1.4,64,57,417,556,0.22,62,61,-1,4
Bruno Amílcar Valdez,29,718329600,1992/10/06,Liga MX,2021/2022,Defender,América,2352,968,1384,Paraguay,30,12,18,2,1,1,1,1,0,1,0,14,7,7,21,5,16,9,0,0.11,0.04,0.08,0.09,0.07,1176,0.8,112,78,261,2352,0.34,178,202,28,8
